Start,Destination,Via Road,Distance (km),Signals,Congestion Count,Waterlogging Count,Congestion Points,Waterlogging Points,Route Type,Time (Car),Time (Bike),Time (Cycle),Time (Bus),Expense (Car),Expense (Bike),Expense (Cycle),Expense (Bus),Pollution (Car),Pollution (Bike),Pollution (Cycle),Pollution (Bus),Total Time
"Pitampura, Delhi","Janakpuri, Delhi",Outer Ring Road,49.34,12,2,2,"Dwarka Link Road, Ashram Chowk","SSN Marg, Aurobindo Marg",Main Road,122.99,95.91,227.67,112.51,360.15,208.13,0.49,16.42,824.67,555.63,-0.28,637.49,39.28933333333333
"Pitampura, Delhi","Janakpuri, Delhi",DND Flyway,39.4,9,1,2,Yusuf Sarai Market,"SSN Marg, Ring Road",Internal Road,96.94,75.45,180.25,88.38,291.44,163.61,0.39,30.74,651.6,434.69,-0.13,516.82,35.626666666666665
"Pitampura, Delhi","Janakpuri, Delhi",Rohtak Road,33.31,8,3,1,"Ashram Chowk, NH-48 Gurugram Border, Lala Lajpat Rai Marg near CGO Complex",SSN Marg,Internal Road,88.4,70.15,159.02,81.46,249.72,139.86,0.33,23.23,568.39,399.87,0.07,472.76,36.220666666666666
"Pitampura, Delhi","Janakpuri, Delhi",Barapullah Corridor,39.16,10,2,3,"Under IIT Flyover, Barapullah Flyover","Ring Road, Najafgarh Road, Outer Ring Road",Internal Road,103.89,82.31,187.21,95.42,284.76,162.4,0.39,13.82,671.27,423.23,-0.16,514.69,43.61066666666667
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mathura Road,15.74,12,3,3,"Dwarka Link Road, Under IIT Flyover, NH-48 Gurugram Border","Mathura Road, GT Road, SSN Marg",Internal Road,62.65,52.38,100.13,56.51,129.87,74.06,0.16,9.28,304.92,199.52,0.21,254.19,45.04933333333334
"Laxmi Nagar, Delhi","Dwarka, Delhi",Najafgarh Road,25.44,12,4,3,"Britannia Chowk, Adchini Village, NH-48 Gurugram Border, Barapullah Flyover","Outer Ring Road, GT Road, Kanjhawala Road",Internal Road,86.39,71.27,143.26,78.7,188.96,115.99,0.25,11.67,462.5,305.59,-0.16,364.88,48.696
"Laxmi Nagar, Delhi","Dwarka, Delhi",Vikas Marg,22.1,10,1,1,Lala Lajpat Rai Marg near CGO Complex,Aurobindo Marg,Internal Road,60.15,47.09,109.34,53.44,173.92,99.71,0.22,25.82,410.6,279.94,-0.43,343.93,29.473333333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",Rohtak Road,32.42,8,3,3,"Yusuf Sarai Market, Captain Gaud Marg, Kashmiri Gate Ring Road","Ashoka Road, Anuvrat Marg, Outer Ring Road",Main Road,93.18,75.37,162.02,85.79,240.82,136.11,0.32,20.36,553.15,373.89,0.19,437.84,46.16133333333333
"Rithala, Delhi","Chhatarpur, Delhi",Najafgarh Road,41.22,5,2,2,"Adchini Village, MB Road (Saket Metro to Khanpur)","Choudhary Fateh Singh Marg, Anuvrat Marg",Highway,100.75,79.13,185.69,93.79,300.9,174.56,0.41,32.04,703.48,449.44,0.1,565.64,38.748000000000005
"Rithala, Delhi","Chhatarpur, Delhi",Vikas Marg,41.97,9,3,3,"Dwarka Link Road, Adchini Village, Yusuf Sarai Market","Kanjhawala Road, Outer Ring Road, Choudhary Fateh Singh Marg",Internal Road,112.72,89.93,201.16,104.19,313.58,176.39,0.42,24.62,687.49,472.41,-0.25,571.71,46.798
"Rithala, Delhi","Chhatarpur, Delhi",NH44,12.26,10,1,2,Under IIT Flyover,"Dwarka Link Road, Boulevard Road",Main Road,42.86,34.73,72.38,37.99,98.55,61.41,0.12,12.43,272.72,191.39,-0.44,197.09,33.81733333333334
"Rithala, Delhi","Chhatarpur, Delhi",Najafgarh Road,36.23,5,3,1,"MB Road (Saket Metro to Khanpur), Adchini Village, Dwarka Link Road",Choudhary Fateh Singh Marg,Highway,92.05,72.94,167.01,85.43,264.33,153.92,0.36,12.27,632.53,424.19,0.15,503.82,36.415333333333336
"Rithala, Delhi","Chhatarpur, Delhi",NH44,20.46,8,3,1,"MB Road (Saket Metro to Khanpur), Mukraba to Madhuban Chowk, Britannia Chowk",Tilak Marg,Highway,62.8,50.97,107.72,57.36,159.71,90.55,0.2,19.57,392.87,240.33,0.48,302.44,35.364000000000004
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH48,12.27,8,3,2,"Rohini West Metro Station, Britannia Chowk, Under IIT Flyover","Akbar Road, Anuvrat Marg",Internal Road,49.68,41.94,78.22,45.01,96.86,56.34,0.12,11.83,269.73,180.63,-0.07,215.17,39.818
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mathura Road,8.96,5,1,2,Kalindi Kunj Road,"Mathura Road, Africa Avenue Road",Internal Road,32.15,26.67,52.57,29.3,82.31,48.27,0.09,25.18,220.58,137.13,0.48,163.59,33.59733333333334
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Vikas Marg,20.23,5,1,2,Adchini Village,"Najafgarh Road, Choudhary Fateh Singh Marg",Highway,54.59,43.48,97.56,50.43,161.29,88.35,0.2,22.41,364.77,258.02,-0.4,286.08,34.34866666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Vikas Marg,22.33,6,1,3,Dwarka Link Road,"Akbar Road, Tilak Marg, Najafgarh Road",Highway,62.84,50.47,110.5,57.87,169.07,100.63,0.22,29.04,406.48,285.74,0.06,335.44,39.48866666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Vikas Marg,28.13,8,1,2,Azadpur Flyover,"Outer Ring Road, Aurobindo Marg",Internal Road,73.62,57.95,133.88,66.74,212.28,122.03,0.28,30.1,479.54,340.92,0.15,406.34,34.87533333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Mehrauli-Gurgaon Road,21.05,8,4,3,"Adchini Village, Mukraba to Madhuban Chowk, Britannia Chowk, MB Road (Saket Metro to Khanpur)","Choudhary Fateh Singh Marg, Tilak Marg, Kanjhawala Road",Main Road,73.83,61.7,119.92,68.47,159.38,96.36,0.21,27.85,387.08,253.25,-0.39,309.27,48.403333333333336
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Barapullah Corridor,6.91,10,3,1,"Adchini Village, Ashram Chowk, Peera Garhi Chowk",Ring Road,Highway,37.39,31.94,56.22,32.96,64.58,37.04,0.07,12.12,172.26,124.19,0.37,155.75,34.46066666666667
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",DND Flyway,21.83,11,2,2,"Lala Lajpat Rai Marg near CGO Complex, Yusuf Sarai Market","Akbar Road, Ashoka Road",Main Road,67.0,53.89,116.16,60.43,169.78,94.32,0.22,17.34,412.79,261.78,0.01,309.7,37.45533333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Rohtak Road,18.8,12,4,2,"Barapullah Flyover, Adchini Village, Britannia Chowk, Lala Lajpat Rai Marg near CGO Complex","Mathura Road, Choudhary Fateh Singh Marg",Highway,70.37,58.57,113.97,63.25,149.26,80.81,0.19,18.69,366.56,235.44,0.26,275.21,43.25333333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mehrauli-Gurgaon Road,44.95,10,2,2,"Mukraba to Madhuban Chowk, Azadpur Flyover","Outer Ring Road, SSN Marg",Main Road,112.75,88.27,207.65,103.28,333.06,192.47,0.45,20.28,741.06,493.74,0.2,609.66,38.99666666666667
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,8.19,11,2,1,"Rohini West Metro Station, NH-48 Gurugram Border",SSN Marg,Main Road,37.04,30.75,58.92,31.86,72.83,37.79,0.08,14.91,183.88,122.71,-0.48,164.65,31.546
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,20.31,10,3,3,"Peera Garhi Chowk, Lala Lajpat Rai Marg near CGO Complex, Ashram Chowk","Ashoka Road, Shankar Road, Dwarka Link Road",Internal Road,70.77,58.61,116.38,64.08,158.26,95.65,0.2,20.97,359.35,241.58,-0.5,319.79,45.354
"Laxmi Nagar, Delhi","Dwarka, Delhi",Barapullah Corridor,32.0,12,3,3,"Ashram Chowk, Captain Gaud Marg, Under IIT Flyover","Choudhary Fateh Singh Marg, Outer Ring Road, Tilak Marg",Internal Road,95.62,77.22,165.62,87.0,240.42,134.31,0.32,18.55,533.58,383.74,0.2,431.68,46.13333333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Outer Ring Road,20.09,5,2,1,"Peera Garhi Chowk, Kashmiri Gate Ring Road",Dwarka Link Road,Internal Road,55.57,44.52,98.25,51.17,160.21,88.11,0.2,18.19,354.1,249.12,-0.2,319.16,32.33933333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Barapullah Corridor,8.98,10,1,3,Kalindi Kunj Road,"Boulevard Road, Dwarka Link Road, Shankar Road",Main Road,39.69,33.2,62.65,34.84,82.07,44.23,0.09,10.84,204.35,135.49,-0.01,174.99,38.59866666666667
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Vikas Marg,39.27,12,2,3,"Kashmiri Gate Ring Road, Captain Gaud Marg","Outer Ring Road, SSN Marg, Kanjhawala Road",Main Road,106.51,84.48,191.05,96.63,293.27,167.53,0.39,30.02,646.73,438.21,-0.38,542.06,43.618
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",NH44,27.87,10,2,2,"Ashram Chowk, Kashmiri Gate Ring Road","Tilak Marg, Boulevard Road",Main Road,78.81,62.88,139.55,71.26,213.12,121.6,0.28,16.77,469.39,346.96,-0.34,409.3,37.858000000000004
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Barapullah Corridor,48.65,10,4,3,"Britannia Chowk, Barapullah Flyover, Kalindi Kunj Road, Adchini Village","Dwarka Link Road, Boulevard Road, Ashoka Road",Internal Road,130.95,104.63,233.25,121.22,355.35,201.5,0.49,33.56,796.09,550.23,-0.21,662.57,50.24333333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Outer Ring Road,41.55,10,3,1,"Under IIT Flyover, Ashram Chowk, Captain Gaud Marg",Dwarka Link Road,Highway,106.87,84.09,194.97,97.91,302.68,181.16,0.42,16.98,717.15,460.28,-0.41,560.06,36.769999999999996
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Mehrauli-Gurgaon Road,16.4,12,4,2,"Mukraba to Madhuban Chowk, Captain Gaud Marg, Lala Lajpat Rai Marg near CGO Complex, Britannia Chowk","Shankar Road, Outer Ring Road",Main Road,65.5,54.9,104.3,58.75,126.2,72.17,0.16,25.48,318.89,197.88,-0.0,268.85,43.093333333333334
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Najafgarh Road,7.11,8,4,2,"Kalindi Kunj Road, Adchini Village, Captain Gaud Marg, Ashram Chowk","Dwarka Link Road, Tilak Marg",Internal Road,43.14,37.98,61.36,39.33,67.75,35.52,0.07,13.28,171.47,111.16,0.35,152.81,42.474000000000004
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Outer Ring Road,43.13,8,2,3,"Barapullah Flyover, Lala Lajpat Rai Marg near CGO Complex","Mathura Road, GT Road, Africa Avenue Road",Main Road,109.91,86.75,200.17,101.87,315.56,179.26,0.43,31.06,714.39,490.72,-0.11,596.54,43.87533333333333
"Netaji Subhash Place, Delhi","Jahangirpuri, Delhi",Mathura Road,21.71,12,1,3,Ashram Chowk,"Tilak Marg, Najafgarh Road, Anuvrat Marg",Internal Road,67.0,53.74,116.42,59.71,170.45,97.08,0.22,16.0,403.2,282.54,-0.25,316.84,39.44733333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mathura Road,22.67,6,2,3,"Rohini West Metro Station, NH-48 Gurugram Border","Ring Road, Boulevard Road, Najafgarh Road",Internal Road,67.72,55.18,116.06,62.51,175.03,101.88,0.23,11.82,391.56,257.28,-0.38,328.5,42.51133333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Najafgarh Road,35.88,11,3,3,"NH-48 Gurugram Border, Yusuf Sarai Market, MB Road (Saket Metro to Khanpur)","Outer Ring Road, Anuvrat Marg, Ashoka Road",Highway,102.46,82.31,179.72,93.78,270.84,156.14,0.36,25.34,617.81,388.98,-0.35,498.41,46.391999999999996
"South Extension, Delhi","Bhikaji Cama Place, Delhi",DND Flyway,34.7,10,3,2,"Barapullah Flyover, Kalindi Kunj Road, Ashram Chowk","Mathura Road, Shankar Road",Internal Road,96.3,76.95,170.7,88.06,255.97,147.92,0.35,15.39,607.09,377.99,-0.4,470.13,41.31333333333333
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mehrauli-Gurgaon Road,13.63,5,3,2,"NH-48 Gurugram Border, Ashram Chowk, Yusuf Sarai Market","SSN Marg, Tilak Marg",Main Road,49.59,41.77,79.34,46.06,113.98,60.95,0.14,20.55,266.81,200.24,-0.1,211.37,39.90866666666666
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Outer Ring Road,32.76,7,2,2,"Ashram Chowk, Mukraba to Madhuban Chowk","Kanjhawala Road, Akbar Road",Highway,85.35,67.57,154.37,78.92,242.65,145.53,0.33,16.21,554.02,367.39,0.29,471.8,38.184
"Laxmi Nagar, Delhi","Dwarka, Delhi",Najafgarh Road,25.88,11,2,3,"Barapullah Flyover, Lala Lajpat Rai Marg near CGO Complex","Tilak Marg, Boulevard Road, Outer Ring Road",Highway,78.75,63.61,136.01,71.03,194.75,113.26,0.26,19.56,483.99,318.23,-0.28,388.83,42.72533333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",Vikas Marg,21.33,8,4,1,"Captain Gaud Marg, Yusuf Sarai Market, Peera Garhi Chowk, Ashram Chowk",Africa Avenue Road,Main Road,68.89,56.63,115.55,62.99,162.52,91.33,0.21,13.03,387.36,244.98,-0.43,325.47,38.422
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH48,5.12,7,2,1,"Barapullah Flyover, Under IIT Flyover",Tilak Marg,Main Road,27.52,23.56,41.27,24.1,51.94,28.89,0.05,13.02,144.0,98.83,0.36,101.57,31.341333333333335
"Laxmi Nagar, Delhi","Dwarka, Delhi",Barapullah Corridor,38.22,12,2,2,"Kalindi Kunj Road, Dwarka Link Road","Shankar Road, SSN Marg",Highway,101.07,79.56,183.51,91.66,286.72,165.73,0.38,15.51,629.22,436.3,0.49,515.93,38.548
"Laxmi Nagar, Delhi","Dwarka, Delhi",Mehrauli-Gurgaon Road,44.82,10,2,3,"Under IIT Flyover, NH-48 Gurugram Border","Boulevard Road, Akbar Road, Mathura Road",Highway,115.33,90.92,209.97,106.04,326.79,186.1,0.45,27.5,770.06,505.15,-0.33,597.34,43.988
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH48,43.42,11,3,1,"Rohini West Metro Station, Dwarka Link Road, Yusuf Sarai Market",Boulevard Road,Main Road,111.67,87.77,204.02,101.91,321.09,180.14,0.43,30.22,744.78,476.49,-0.1,588.79,36.894666666666666
"Laxmi Nagar, Delhi","Dwarka, Delhi",Najafgarh Road,45.23,10,2,2,"Kalindi Kunj Road, Rohini West Metro Station","SSN Marg, Najafgarh Road",Highway,113.41,88.8,208.87,103.81,328.59,194.84,0.45,23.85,760.22,497.56,0.45,608.29,39.01533333333333
"Laxmi Nagar, Delhi","Dwarka, Delhi",NH44,48.76,11,2,2,"Kalindi Kunj Road, Captain Gaud Marg","Anuvrat Marg, SSN Marg",Highway,121.28,94.7,224.31,110.92,358.87,201.66,0.49,22.32,793.61,537.22,-0.25,662.45,39.25066666666667
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH44,7.96,9,3,2,"Adchini Village, Mukraba to Madhuban Chowk, NH-48 Gurugram Border","Akbar Road, Boulevard Road",Main Road,41.66,35.88,62.07,37.42,70.13,44.63,0.08,9.48,216.14,133.34,0.48,160.96,39.53066666666666
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mathura Road,39.6,5,1,3,Captain Gaud Marg,"Ashoka Road, Tilak Marg, Kanjhawala Road",Internal Road,97.06,76.26,178.76,89.75,296.34,169.16,0.4,23.18,659.07,434.46,-0.41,550.12,40.64
"Daryaganj, Delhi","Tughlaqabad, Delhi",Vikas Marg,29.23,7,1,1,MB Road (Saket Metro to Khanpur),GT Road,Highway,71.27,55.25,133.23,65.31,218.74,124.14,0.29,27.41,519.86,351.72,0.09,407.77,29.948666666666668
"Daryaganj, Delhi","Tughlaqabad, Delhi",DND Flyway,40.04,7,1,3,Adchini Village,"Africa Avenue Road, SSN Marg, Najafgarh Road",Main Road,99.38,77.96,182.97,91.58,298.55,169.72,0.4,23.25,675.04,457.03,-0.29,533.11,40.669333333333334
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH48,46.43,8,3,1,"Under IIT Flyover, Britannia Chowk, Kalindi Kunj Road",Choudhary Fateh Singh Marg,Highway,114.74,89.92,211.6,106.06,342.73,193.87,0.46,27.22,775.06,497.31,0.36,602.29,37.09533333333333
"Ashok Vihar, Delhi","Khan Market, Delhi",Outer Ring Road,22.38,12,1,1,MB Road (Saket Metro to Khanpur),Choudhary Fateh Singh Marg,Highway,62.62,49.03,113.38,54.96,168.89,103.12,0.22,10.47,427.43,258.23,-0.15,343.29,29.492
"Ashok Vihar, Delhi","Khan Market, Delhi",Vikas Marg,29.73,8,2,3,"MB Road (Saket Metro to Khanpur), Peera Garhi Chowk","Ashoka Road, Dwarka Link Road, Kanjhawala Road",Main Road,83.43,66.97,146.89,76.74,221.41,127.96,0.3,19.34,510.72,332.98,-0.1,408.85,42.982
"Ashok Vihar, Delhi","Khan Market, Delhi",Vikas Marg,42.58,7,3,2,"Ashram Chowk, Kalindi Kunj Road, Adchini Village","Kanjhawala Road, Ring Road",Internal Road,109.6,86.91,198.26,101.34,315.86,179.78,0.43,24.93,702.23,475.43,-0.4,573.36,41.83866666666667
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,38.28,7,1,3,MB Road (Saket Metro to Khanpur),"Boulevard Road, Tilak Marg, Outer Ring Road",Main Road,95.73,75.19,175.8,88.28,284.11,162.41,0.38,15.34,651.39,446.63,0.26,534.25,40.552
"Daryaganj, Delhi","Tughlaqabad, Delhi",NH48,26.64,10,4,3,"Barapullah Flyover, Ashram Chowk, Kalindi Kunj Road, Yusuf Sarai Market","GT Road, Outer Ring Road, Tilak Marg",Highway,87.13,71.81,145.41,79.95,204.65,120.61,0.27,16.15,458.73,330.29,0.18,386.6,48.775999999999996
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mehrauli-Gurgaon Road,24.6,9,2,2,"Peera Garhi Chowk, MB Road (Saket Metro to Khanpur)","Dwarka Link Road, Africa Avenue Road",Highway,70.87,56.77,124.57,64.62,190.79,104.84,0.25,15.05,433.15,289.31,-0.04,336.18,37.64
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mathura Road,23.75,12,4,2,"MB Road (Saket Metro to Khanpur), Kashmiri Gate Ring Road, Kalindi Kunj Road, Dwarka Link Road","GT Road, Shankar Road",Internal Road,80.38,66.1,133.88,72.53,184.08,101.1,0.24,22.71,411.91,284.3,0.33,331.67,43.58333333333333
"Daryaganj, Delhi","Tughlaqabad, Delhi",Mathura Road,16.12,6,1,2,Under IIT Flyover,"Dwarka Link Road, Africa Avenue Road",Highway,47.64,38.38,82.88,43.23,127.1,72.53,0.16,22.12,337.31,208.01,0.5,271.14,34.074666666666666
"Daryaganj, Delhi","Tughlaqabad, Delhi",Barapullah Corridor,25.74,7,3,1,"Under IIT Flyover, Rohini West Metro Station, MB Road (Saket Metro to Khanpur)",Tilak Marg,Main Road,72.85,58.58,127.83,66.76,198.02,110.01,0.26,16.75,441.94,296.96,-0.2,367.14,35.716
"Ashok Vihar, Delhi","Khan Market, Delhi",NH48,41.67,9,2,1,"Lala Lajpat Rai Marg near CGO Complex, Peera Garhi Chowk",Tilak Marg,Main Road,102.12,79.48,189.96,93.63,306.89,177.07,0.42,15.04,709.67,446.93,-0.15,563.75,33.778
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,7.29,11,2,1,"Britannia Chowk, Peera Garhi Chowk",Aurobindo Marg,Internal Road,35.35,29.5,55.43,30.17,68.89,38.75,0.07,25.64,191.27,114.92,0.49,146.92,31.486
"Ashok Vihar, Delhi","Khan Market, Delhi",Vikas Marg,11.51,11,1,3,Kalindi Kunj Road,"Mathura Road, Boulevard Road, Ring Road",Highway,45.47,37.51,73.98,40.08,90.61,57.26,0.12,24.63,231.63,163.71,-0.31,207.14,38.76733333333333
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,15.76,11,4,1,"Kalindi Kunj Road, Under IIT Flyover, Adchini Village, MB Road (Saket Metro to Khanpur)",SSN Marg,Internal Road,59.88,49.8,96.9,54.05,124.9,71.05,0.16,10.46,322.09,223.74,-0.34,260.71,38.05066666666667
"Ashok Vihar, Delhi","Khan Market, Delhi",DND Flyway,13.77,8,4,3,"Rohini West Metro Station, Lala Lajpat Rai Marg near CGO Complex, Ashram Chowk, Britannia Chowk","Aurobindo Marg, Outer Ring Road, Anuvrat Marg",Main Road,59.44,50.95,90.97,54.82,111.97,69.83,0.14,17.64,305.47,190.27,-0.12,214.09,47.918
"Daryaganj, Delhi","Tughlaqabad, Delhi",Barapullah Corridor,42.05,6,3,2,"Britannia Chowk, Peera Garhi Chowk, Captain Gaud Marg","Outer Ring Road, Boulevard Road",Highway,107.46,85.24,194.56,99.84,312.25,178.73,0.42,17.65,720.48,467.66,-0.47,565.2,41.803333333333335
"Daryaganj, Delhi","Tughlaqabad, Delhi",DND Flyway,8.97,10,1,1,MB Road (Saket Metro to Khanpur),Akbar Road,Internal Road,33.49,27.0,56.43,28.82,78.83,47.31,0.09,26.35,190.89,139.43,0.18,153.0,28.598
"Daryaganj, Delhi","Tughlaqabad, Delhi",Vikas Marg,32.97,11,3,2,"Lala Lajpat Rai Marg near CGO Complex, Kashmiri Gate Ring Road, Rohini West Metro Station","Najafgarh Road, GT Road",Main Road,93.75,75.06,165.19,85.32,241.92,142.92,0.33,21.65,573.94,386.99,-0.42,472.49,41.198
"Daryaganj, Delhi","Tughlaqabad, Delhi",Outer Ring Road,17.39,7,3,3,"Under IIT Flyover, NH-48 Gurugram Border, MB Road (Saket Metro to Khanpur)","Choudhary Fateh Singh Marg, Ring Road, Tilak Marg",Main Road,61.77,51.67,100.05,57.11,133.93,80.69,0.17,9.26,311.4,206.11,-0.09,254.58,45.159333333333336
"Connaught Place, Delhi","Noida, Delhi",NH48,30.62,5,1,2,Rohini West Metro Station,"Ring Road, Aurobindo Marg",Highway,75.46,59.15,139.2,69.91,226.35,134.1,0.31,29.55,523.46,347.23,0.19,437.27,35.041333333333334
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,29.99,5,3,1,"Azadpur Flyover, Under IIT Flyover, Britannia Chowk",Shankar Road,Main Road,79.22,63.23,141.7,73.73,222.93,129.23,0.3,17.12,504.76,330.79,0.22,409.66,35.99933333333333
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,15.53,8,3,2,"Barapullah Flyover, Captain Gaud Marg, Dwarka Link Road","GT Road, Choudhary Fateh Singh Marg",Highway,55.83,46.46,90.89,51.12,126.83,76.33,0.16,23.7,297.48,202.44,0.25,238.98,40.035333333333334
"Connaught Place, Delhi","Noida, Delhi",NH44,12.18,10,3,1,"Adchini Village, Kalindi Kunj Road, Yusuf Sarai Market",Ring Road,Main Road,48.2,40.11,77.56,42.84,101.12,59.22,0.12,12.94,245.22,184.31,-0.3,223.86,34.812
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,48.02,7,4,1,"MB Road (Saket Metro to Khanpur), Lala Lajpat Rai Marg near CGO Complex, Yusuf Sarai Market, Under IIT Flyover",Ring Road,Main Road,121.12,95.71,220.67,112.54,356.09,205.46,0.48,22.09,794.86,523.79,0.39,619.41,40.20133333333334
"Kalkaji, Delhi","RK Puram, Delhi",Mathura Road,13.71,11,2,3,"Britannia Chowk, NH-48 Gurugram Border","Anuvrat Marg, SSN Marg, Mathura Road",Highway,54.09,45.04,87.02,48.21,106.83,61.27,0.14,23.29,274.78,173.1,-0.09,208.68,41.914
"Kalkaji, Delhi","RK Puram, Delhi",Mehrauli-Gurgaon Road,46.58,12,2,1,"Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur)",Najafgarh Road,Main Road,114.52,88.82,213.67,104.34,339.33,195.72,0.47,32.71,758.04,504.38,-0.44,636.6,34.105333333333334
"Kalkaji, Delhi","RK Puram, Delhi",NH48,35.49,12,4,3,"Barapullah Flyover, MB Road (Saket Metro to Khanpur), Britannia Chowk, Captain Gaud Marg","Outer Ring Road, Anuvrat Marg, Najafgarh Road",Highway,106.13,85.99,183.11,97.54,268.21,154.18,0.35,17.54,594.4,409.39,0.32,496.85,49.366
"Kalkaji, Delhi","RK Puram, Delhi",Vikas Marg,36.01,12,2,3,"Kashmiri Gate Ring Road, MB Road (Saket Metro to Khanpur)","Boulevard Road, GT Road, Akbar Road",Highway,99.45,79.05,177.47,90.52,266.91,152.48,0.36,20.64,630.34,408.16,-0.26,488.23,43.400666666666666
"Kalkaji, Delhi","RK Puram, Delhi",Najafgarh Road,35.9,5,2,1,"Kashmiri Gate Ring Road, Kalindi Kunj Road",Dwarka Link Road,Internal Road,87.21,68.26,161.51,80.81,269.43,155.05,0.36,20.61,596.64,393.34,-0.02,482.76,33.39333333333333
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,47.29,7,2,1,"Under IIT Flyover, Lala Lajpat Rai Marg near CGO Complex",Africa Avenue Road,Internal Road,111.77,86.72,209.84,103.17,344.77,200.33,0.47,32.16,775.44,510.73,0.24,629.59,34.15266666666667
"Connaught Place, Delhi","Noida, Delhi",Barapullah Corridor,44.06,11,4,2,"Ashram Chowk, Peera Garhi Chowk, Under IIT Flyover, Adchini Village","Najafgarh Road, Akbar Road",Main Road,119.74,95.51,213.36,110.11,327.2,187.99,0.44,25.82,730.32,503.57,0.16,606.08,44.937333333333335
"Connaught Place, Delhi","Noida, Delhi",Najafgarh Road,30.61,10,2,2,"Rohini West Metro Station, Azadpur Flyover","SSN Marg, Tilak Marg",Main Road,84.07,66.77,150.29,76.39,231.1,129.5,0.31,29.06,558.91,348.78,-0.04,440.51,38.04066666666667
"Connaught Place, Delhi","Noida, Delhi",Outer Ring Road,38.38,10,1,3,Rohini West Metro Station,"Anuvrat Marg, Shankar Road, Mathura Road",Internal Road,98.8,77.61,180.56,89.96,280.17,165.75,0.38,21.06,628.94,448.24,-0.4,511.27,40.55866666666667
"Connaught Place, Delhi","Noida, Delhi",NH48,39.26,12,1,3,Lala Lajpat Rai Marg near CGO Complex,"Shankar Road, Choudhary Fateh Singh Marg, Boulevard Road",Main Road,101.86,79.83,186.38,92.61,287.03,169.55,0.39,21.01,640.55,432.47,-0.11,530.62,40.617333333333335
"Rithala, Delhi","Chhatarpur, Delhi",NH44,34.25,12,2,3,"Under IIT Flyover, Ashram Chowk","Shankar Road, Boulevard Road, Ring Road",Highway,95.56,76.04,170.06,87.22,249.96,148.84,0.34,27.34,570.49,395.14,-0.43,462.84,43.28333333333333
"Rithala, Delhi","Chhatarpur, Delhi",NH48,18.01,8,1,1,Barapullah Flyover,Akbar Road,Main Road,49.95,39.34,89.97,44.77,142.2,84.1,0.18,18.49,358.6,226.31,0.35,267.43,29.200666666666667
"Rithala, Delhi","Chhatarpur, Delhi",Vikas Marg,33.59,6,4,1,"Adchini Village, Rohini West Metro Station, Under IIT Flyover, MB Road (Saket Metro to Khanpur)",Kanjhawala Road,Internal Road,91.18,73.18,161.36,84.98,250.0,143.41,0.34,14.55,590.51,368.41,0.42,447.54,39.239333333333335
